187.45.116.132|104|2022-10-08T09:37:56.239413|MHNET TELECOM|Brazil|AS28146|tcp|"DICOM Server Response \x02\x00\x00\x00\x00\xb8\x00\x01\x00\x00ANY-SCP         FINDSCU         \x00\x"
12.164.202.180|104|2022-10-08T09:35:44.226345|BURKE MEDICAL CENTER|United States|AS7018|tcp|"DICOM Server Response \x02\x00\x00\x00\x00\xad\x00\x01\x00\x00ANY-SCP         FINDSCU         \x00\x"
20.85.56.45|104|2022-10-08T09:33:41.815817|Microsoft Corporation|United States|AS8075|tcp|"DICOM Server Response \x02\x00\x00\x00\x00\xb7\x00\x01\x00\x00ANY-SCP         FINDSCU         \x00\x"
59.95.102.175|11112|2022-10-08T09:26:53.683353|NIB (National Internet Backbone)|India|AS9829|tcp|"DICOM Server Response \x02\x00\x00\x00\x00\xb3\x00\x01\x00\x00ANY-SCP         FINDSCU         \x00\x"
200.241.235.226|11112|2022-10-08T09:26:03.862573|Ânima Centro Hospitalar Ltda|Brazil|AS4230|tcp|"DICOM Server Response \x02\x00\x00\x00\x00\xb8\x00\x01\x00\x00ANY-SCP         FINDSCU         \x00\x"
94.16.15.36|11112|2022-10-08T09:24:28.587223|powered by ANX|Austria|AS42473|tcp|"DICOM Server Response \x02\x00\x00\x00\x00\x88\x00\x01\x00\x00ANY-SCP         FINDSCU         \x00\x"
2.187.100.15|11112|2022-10-08T09:21:41.867160|Qazvin Telecomonicatin co.|"Iran, Islamic Republic of"|AS58224|tcp|"DICOM Server Response \x02\x00\x00\x00\x00\xb8\x00\x01\x00\x00ANY-SCP         FINDSCU         \x00\x"
141.39.166.46|4242|2022-10-08T09:11:57.208858|Klinikum rechts der Isar|Germany|AS680|tcp|"DICOM Server Response \x02\x00\x00\x00\x00\xb8\x00\x01\x00\x00ANY-SCP         FINDSCU         \x00\x"
181.91.32.41|104|2022-10-08T09:10:55.642849|Apolo -Gold-Telecom-Per|Argentina|AS7303|tcp|"DICOM Server Response \x02\x00\x00\x00\x00\xb9\x00\x01\x00\x00ANY-SCP         FINDSCU         \x00\x"
186.225.10.154|104|2022-10-08T09:05:44.274801|Unifique Telecomunicações SA|Brazil|AS28343|tcp|"DICOM Server Response \x02\x00\x00\x00\x00\xb8\x00\x01\x00\x00ANY-SCP         FINDSCU         \x00\x"
160.238.221.52|11112|2022-10-08T09:04:41.664593|ISPNET TELECOMUNICACOES LTDA - EPP|Brazil|AS266555|tcp|"DICOM Server Response \x02\x00\x00\x00\x00\xaf\x00\x01\x00\x00ANY-SCP         FINDSCU         \x00\x"
